ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
15885	YornoSo-3576_doforgingdoablacksmithswork-1	YornoSo		do forging, do a blacksmith's work	dùbɔ́ dùbɔ́	dùb-ɔ́-dùb-ɔ́	d ù b - ɔ́ - d ù b - ɔ́			0	1 7 1 0 7 0 1 7 1 0 7	AXMBYBCYMBZ	TYP0U0TYP0U	12	12.T.C 12.Y.V 12.P.c 12.0.C 12.U.V 12.0.C 12.T.C 12.Y.V 12.P.c 12.0.C 12.U.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	dùb-ɔ́-dùb-ɔ́	0	2310
15721	BankanTey-3588_domake-1	BankanTey		do, make	káŋ	káŋ	k á ŋ			0	1 7 4	AXN	KAN	1	1.K.C 1.A.V 1.N.c	2.0 1.5 0.8	káŋ	0	2323
15722	BenTey-3588_domake-1	BenTey		do, make	káyⁿ	káj-.∼	k á dʒ - <<∼>>			0	1 7 1 0 0	AXLLN	KAT00	2	2.K.C 2.A.V 2.T.c 2.0.c 2.0.c	2.0 1.5 1.1 1.1 0.8	kádʒ-<<∼>>	0	2324
15729	JamsayDouentza-3588_domake-1	JamsayDouentza		do, make	kárⁿá	kár-.∼á	k á r - <<∼>> á			0	1 7 5 0 0 7	AXLMBZ	KAR00A	3	3.K.C 3.A.V 3.R.c 3.0.c 3.0.C 3.A.V	2.0 1.5 1.1 1.1 1.75 0.8	kár-<<∼>>á	0	2325
15731	Mombo-3588_domake-1	Mombo		do, make	kání	kán-í	k á n - í			0	1 7 4 0 7	AXMBZ	KAN0I	4	4.K.C 4.A.V 4.N.c 4.0.C 4.I.V	2.0 1.5 1.1 1.75 0.8	kán-í	0	2323
15732	Najamba-3588_domake-1	Najamba		do, make	kán\\kànè	kàn-è	k à n - è			0	1 7 4 0 7	AXMBZ	KAN0E	5	5.K.C 5.A.V 5.N.c 5.0.C 5.E.V	2.0 1.5 1.1 1.75 0.8	kàn-è	0	2323
15733	Najamba-3588_domake-2	Najamba		do, make	kán\\kànè	kàn-è	k à n - è			0	1 7 4 0 7	AXMBZ	KAN0E	5	5.K.C 5.A.V 5.N.c 5.0.C 5.E.V	2.0 1.5 1.1 1.75 0.8	kàn-è	1	2323
15734	Nanga-3588_domake-1	Nanga		do, make	kárⁿí	kár-.∼í	k á r - <<∼>> í			0	1 7 5 0 0 7	AXLMBZ	KAR00I	6	6.K.C 6.A.V 6.R.c 6.0.c 6.0.C 6.I.V	2.0 1.5 1.1 1.1 1.75 0.8	kár-<<∼>>í	0	2325
15737	PergeTegu-3588_domake-1	PergeTegu		do, make	kárⁿá	kár-.∼á	k á r - <<∼>> á			0	1 7 5 0 0 7	AXLMBZ	KAR00A	7	7.K.C 7.A.V 7.R.c 7.0.c 7.0.C 7.A.V	2.0 1.5 1.1 1.1 1.75 0.8	kár-<<∼>>á	0	2325
15740	TogoKan-3588_domake-1	TogoKan		do, make	bìrɛ́	bìr-ɛ́	b ì r - ɛ́			0	1 7 5 0 7	AXMBZ	PIR0E	8	8.P.C 8.I.V 8.R.c 8.0.C 8.E.V	2.0 1.5 1.1 1.75 0.8	bìr-ɛ́	0	2326
15741	TommoSoTongoTongo-3588_domake-1	TommoSoTongoTongo		do, make	káná	kán-á	k á n - á			0	1 7 4 0 7	AXMBZ	KAN0A	9	9.K.C 9.A.V 9.N.c 9.0.C 9.A.V	2.0 1.5 1.1 1.75 0.8	kán-á	1	2323
15742	ToroTegu-3588_domake-1	ToroTegu		do, make	kárⁿú\\kárⁿá	kár-.∼á	k á r - <<∼>> á			0	1 7 5 0 0 7	AXLMBZ	KAR00A	10	10.K.C 10.A.V 10.R.c 10.0.c 10.0.C 10.A.V	2.0 1.5 1.1 1.1 1.75 0.8	kár-<<∼>>á	1	2325
15743	ToroTegu-3588_domake-2	ToroTegu		do, make	kárⁿú\\kárⁿá	kár-.∼á	k á r - <<∼>> á			0	1 7 5 0 0 7	AXLMBZ	KAR00A	10	10.K.C 10.A.V 10.R.c 10.0.c 10.0.C 10.A.V	2.0 1.5 1.1 1.1 1.75 0.8	kár-<<∼>>á	1	2325
